,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
11798,15607.0,9.0,77.89444444444445,16.0,2.7777777777777777,13.22222222222222,5.888888888888889,4.777777777777778,1.4444444444444444,3.888888888888889,0.0,0.0,77.55555555555556,0.0,0.0,4.222222222222222,0.0,19.444444444444443,9.11111111111111,12.88888888888889
11799,15608.0,9.0,82.53333333333333,9.555555555555555,1.2222222222222223,8.333333333333334,3.7777777777777777,2.888888888888889,0.6666666666666666,2.111111111111111,0.0,0.1111111111111111,48.0,0.0,0.0,2.111111111111111,0.0,5.333333333333333,2.333333333333333,2.6666666666666665
11800,15609.0,9.0,80.51666666666668,5.777777777777778,0.6666666666666666,5.111111111111111,2.333333333333333,2.0,0.6666666666666666,0.7777777777777778,0.0,0.0,30.444444444444443,0.0,0.0,2.111111111111111,0.0,1.7777777777777777,1.6666666666666667,2.0
11801,15610.0,9.0,81.66666666666667,4.444444444444445,0.2222222222222222,4.222222222222222,1.1111111111111112,2.2222222222222223,0.3333333333333333,0.7777777777777778,0.0,0.0,19.88888888888889,0.0,0.0,0.8888888888888888,0.0,2.6666666666666665,1.4444444444444444,2.4444444444444446
11802,15611.0,9.0,79.74444444444445,5.888888888888889,0.6666666666666666,5.222222222222222,1.2222222222222223,1.8888888888888888,0.4444444444444444,2.111111111111111,0.1111111111111111,0.1111111111111111,19.33333333333333,0.0,0.0,1.5555555555555556,0.0,0.4444444444444444,0.2222222222222222,0.5555555555555556
11803,15612.0,9.0,81.14444444444445,41.333333333333336,4.666666666666667,36.66666666666666,13.333333333333334,13.333333333333334,1.4444444444444444,12.444444444444445,0.0,0.7777777777777778,48.22222222222222,0.0,0.0,1.8888888888888888,0.0,8.555555555555555,2.2222222222222223,4.444444444444445
11804,15613.0,9.0,82.16666666666667,8.11111111111111,2.111111111111111,6.0,2.888888888888889,1.6666666666666667,1.3333333333333333,2.0,0.2222222222222222,0.0,52.44444444444444,0.0,0.0,1.7777777777777777,0.0,5.888888888888889,2.4444444444444446,3.6666666666666665
11805,15614.0,9.0,80.78333333333333,6.888888888888889,0.2222222222222222,6.666666666666667,1.5555555555555556,3.111111111111111,0.2222222222222222,1.7777777777777777,0.2222222222222222,0.0,28.55555555555556,0.0,0.0,0.8888888888888888,0.0,1.6666666666666667,0.8888888888888888,1.6666666666666667
11806,15615.0,9.0,79.13888888888889,7.888888888888889,1.2222222222222223,6.666666666666667,2.555555555555556,3.333333333333333,0.8888888888888888,1.1111111111111112,0.0,0.0,25.0,0.0,0.0,1.2222222222222223,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.6666666666666666
11807,15616.0,9.0,78.95555555555555,8.0,0.8888888888888888,7.111111111111111,1.7777777777777777,2.7777777777777777,1.0,1.7777777777777777,0.6666666666666666,0.0,23.77777777777778,0.0,0.0,1.0,0.0,3.111111111111111,2.2222222222222223,2.4444444444444446
11808,15617.0,9.0,82.21111111111112,5.444444444444445,0.4444444444444444,5.0,2.0,1.6666666666666667,0.5555555555555556,1.0,0.1111111111111111,0.1111111111111111,18.77777777777778,0.0,0.0,1.1111111111111112,0.0,2.0,0.4444444444444444,0.6666666666666666
11809,15618.0,8.0,74.05000000000001,9.5,1.0,8.5,4.25,3.375,0.75,1.125,0.0,0.0,32.375,0.0,0.0,1.0,0.0,2.25,1.125,2.125
11810,15619.0,9.0,80.63333333333334,10.666666666666666,1.7777777777777777,8.88888888888889,4.777777777777778,2.555555555555556,1.0,2.0,0.1111111111111111,0.2222222222222222,66.88888888888889,0.0,0.0,2.2222222222222223,0.0,7.111111111111111,3.555555555555556,5.444444444444445
